"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","REST API","1","0","Error handling","0"
"0","","0","REST API","1","0","Create","0"
"0","","0","REST API","1","0","Update","0"
"0","","0","Authentication","1","0","Locked-out user","0"
"0","","0","REST API","1","0","Delete","0"
"0","","0","Checkout","1","0","End-to-end purchase","0"
"0","","0","Shopping Cart","1","0","Navigation","0"
"0","","0","Authentication","1","0","Valid login","0"
"0","","0","REST API","1","0","Performance","0"
"0","","0","Product Catalogue","2","0","Cart badge","0"
"0","","0","Shopping Cart","2","0","Cart contents","0"
"0","","0","REST API","2","0","Read","0"
"0","","0","Checkout","1","0","Order totals","0"
"0","","0","Product Catalogue","2","0","Sorting","0"
"0","","0","Checkout","1","0","Form validation","0"
"0","","0","Authentication","1","0","Invalid credentials","0"
"0","","0","Product Catalogue","1","0","Inventory display","0"
